"['Men', 'Designers', 'Giorgio Armani', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/1e/P00820281.jpg,Giorgio Armani,Leather penny loafers,€ 835,,,P00820281,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']",Turn to these penny loafers from Giorgio Armani for a timeless addition to your everyday wardrobe. The style is crafted from black leather and set atop a thick rubber sole for comfort.,[]
"['Men', 'Designers', 'Giorgio Armani', 'Shoes', 'Formal shoes', 'Derby']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/2c/P00820283.jpg,Giorgio Armani,Leather Derby shoes,€ 835,,,P00820283,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","Giorgio Armani elevates these Derby shoes with a distinct platform rubber sole. Made in Italy from black leather, the lace-up style has a rounded toe and logo lettering on the tongue.",[]
"['Men', 'Designers', 'Zegna', 'Shoes', 'Formal shoes', 'Oxford']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/40/P00828596.jpg,Zegna,Oxford leather shoes,€ 835,,,P00828596,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","With an almond-shaped toe, these classic Oxford shoes from Zegna are Italian-crafted from supple leather. The design features a formal lace-up detail and is finished with sleek rubber soles.",[]
"['Men', 'Designers', 'Bottega Veneta', 'Shoes', 'Boots', 'Ankle boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/8b/P00856558.jpg,Bottega Veneta,Fireman leather Chelsea boots,"€ 1,095",,,P00856558,"['EU_ 39 / EU 39', 'EU_ 39.5 / EU 39.5', 'EU_ 40 / EU 40', 'EU_ 40.5 / EU 40.5', 'EU_ 41 / EU 41', 'EU_ 41.5 / EU 41.5', 'EU_ 42 / EU 42', 'EU_ 42.5 / EU 42.5', 'EU_ 43 / EU 43', 'EU_ 43.5 / EU 43.5', 'EU_ 44 / EU 44', 'EU_ 44.5 / EU 44.5', 'EU_ 45 / EU 45', 'EU_ 45.5 / EU 45.5', 'EU_ 46 / EU 46']","Versatile and practical, these Chelsea boots from Bottega Veneta are a modern wardrobe staple. Made from black brushed leather, the round-toe style has elasticated inserts and is set atop a rubber-injected outsole.",[]
"['Men', 'Designers', 'Dolce & Gabbana', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/c9/P00816316.jpg,Dolce&Gabbana,DG suede loafers,€ 669,,,P00816316,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Arriving in a classic silhouette, these loafers from Dolce&Gabbana will make a refined addition to your edit. Expertly crafted from plush suede, the style rests on quilted footbeds and is adorned with gleaming golden hardware.",[]
"['Men', 'Designers', 'Lemaire', 'Shoes', 'Formal shoes', 'Brogues']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/65/P00845052.jpg,Lemaire,Leather Derby shoes,€ 499,,,P00845052,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Designed to transcend seasons and trends, Lemaire's styles strike the perfect balance between quality and functionality. These Derby shoes are crafted from polished black leather and rest on stacked heels.",[]
"['Men', 'Designers', ""Tod's"", 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/5a/P00837622.jpg,Tod's,Suede Chelsea boots,€ 549,,,P00837622,"['UK_ 6 / EU 39.5', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43-43.5', 'UK_ 9.5 / EU 44', 'UK_ 10 / EU 44.5', 'UK_ 10.5 / EU 45', 'UK_ 11 / EU 45.5', 'UK_ 11.5 / EU 46.5', 'UK_ 12 / EU 47', 'UK_ 13 / EU 48']","Add refined designs to your footwear rotation, cue these Chelsea boots from Tod's. Crafted from suede, the brown style features elasticated sides and brand-signature pebble detailing at the heels.",[]
"['Men', 'Designers', 'Gucci', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/b3/P00737552.jpg,Gucci,Horsebit leather loafers,€ 635,,,P00737552,"['UK_ 5 / EU 39', 'UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47', 'UK_ 5.5 / EU 39.5']","A true classic, these loafers from Gucci feature the label's iconic golden Horsebit detail over the bridges. The slip-on pair is made in Italy from supple leather and features tonal stitching throughout.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/b3/P00737552_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/53/P00737502.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/2e/P00737602.jpg']"
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/7c/P00830483.jpg,Christian Louboutin,Happyrui leather-trimmed sneakers,€ 715,,,P00830483,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","The Happyrui low-top sneakers from Christian Louboutin are inspired by classic tennis shoes. Set atop thick rubber soles, they're crafted from a mix of off-white leather, suede, and nylon, and are finished with a heel tab.",[]
"['Men', 'Designers', 'Maison Margiela', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/a7/P00443359.jpg,Maison Margiela,Replica leather and suede sneakers,€ 415,,,P00443359,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 40.5 / EU 40.5', 'EU_ 41 / EU 41', 'EU_ 41.5 / EU 41.5', 'EU_ 42 / EU 42', 'EU_ 42.5 / EU 42.5', 'EU_ 43 / EU 43', 'EU_ 43.5 / EU 43.5', 'EU_ 44 / EU 44', 'EU_ 44.5 / EU 44.5', 'EU_ 45 / EU 45', 'EU_ 45.5 / EU 45.5', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","This update to Maison Margiela's iconic Replica sneakers sees the sleek silhouette in a white and grey shade with leather uppers, suede trims and debossed logo on the tongue, atop a brown rubber sole.",[]
