"['Men', 'Designers', 'Jil Sander', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/9c/P00817332.jpg,Jil Sander,Leather Chelsea boots,€ 919,,,P00817332,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45']","Jil Sander's sophisticated minimalism is characterized by neutral tones, clean lines, and precisely-placed details. Crafted from smooth leather, these Chelsea boots are shaped to a  round-toe silhouette with tonal rubber soles and elasticated gussets.",[]
"['Men', 'Designers', 'Giorgio Armani', 'Shoes', 'Formal shoes', 'Brogues']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e2/P00820282.jpg,Giorgio Armani,Patent leather Oxford shoes,€ 749,,,P00820282,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","Known for its streamlined modernity, Giorgio Armani presents an elegant take on classic silhouettes and immaculate suiting. Round off your look with these Oxford shoes, made in Italy from patent leather.",[]
"['Men', 'Designers', 'Thom Browne', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/0f/P00806081.jpg,Thom Browne,Leather low-top sneakers,€ 499,€ 253,70% off,P00806081,"['US_ 6 / EU 39', 'US_ 7 / EU 40', 'US_ 8 / EU 41', 'US_ 9 / EU 42', 'US_ 10 / EU 43', 'US_ 11 / EU 44', 'US_ 12 / EU 45']",Tricolor grosgrain trims add a preppy touch to Thom Browne’s Americana-led designs. These calfskin low-top sneakers have signature pull tabs and matching stripes on the rubber midsoles.,"['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/0f/P00806081_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/7f/P00501832.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/15/P00757042.jpg']"
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/21/P00831255.jpg,Manolo Blahnik,Delsa suede Chelsea boot,€ 755,,,P00831255,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Team your cold-weather looks with the Delsa Suede Chelsea boot from Manolo Blahnik. The Italian-crafted pair is made from smooth suede and will look good paired with chinos, jeans, and pants.",[]
"['Men', 'Designers', 'Giorgio Armani', 'Shoes', 'Boots', 'Lace up boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e0/P00835289.jpg,Giorgio Armani,Leather lace-up boots,"€ 1,219",,,P00835289,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","Inspired by outdoor styles, these ankle boots from Giorgio Armani are made from supple leather with lace-up fronts. They feature branded tongues and rest atop chunky soles for optimum comfort.",[]
"['Men', 'Designers', 'Gucci', 'Shoes', 'Sneakers', 'High-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e8/P00815915.jpg,Gucci,GG jacquard high-top sneakers,€ 585,,,P00815915,"['UK_ 5 / EU 39', 'UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","A historic interpretation of founder Guccio Gucci's initials, GG Supreme canvas is a key fabric at the house of Gucci. These high-top sneakers are inspired by tennis, featuring lugged rubber soles with logo midsoles.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/e8/P00815915_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/57/P00731016.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/39/P00737651.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/ec/P00737678.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/d4/P00737553.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/14/P00773750.jpg']"
"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/06/P00806771.jpg,Valentino Garavani,Leather Chelsea boots,€ 825,,,P00806771,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","These Chelsea boots from Valentino Garavani are a timeless addition to your edit. Made in Italy from smooth leather, the classic design features heel tabs subtly decorated with brand-signature rockstuds and elasticated sides.",[]
"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/6b/P00806770.jpg,Valentino Garavani,Leather loafers,€ 749,,,P00806770,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","These loafers from Valentino Garavani are classics for a reason. Crafted from smooth black leather with round toes, this pair is suited to formalwear and office attire alike. Note the tonal Rockstud embellishing the heels.",[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'High-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/b8/P00830480.jpg,Christian Louboutin,Louis suede sneakers,€ 669,,,P00830480,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']",The Louis high-top sneakers from Christian Louboutin are made from smooth navy blue suede. The design is inspired by '80s styles and has tonal grosgrain trims and discreet topstitching.,[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/93/P00830482.jpg,Christian Louboutin,Happyrui leather-trimmed sneakers,€ 715,,,P00830482,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']",Christian Louboutin’s Happyrui sneakers are a low-top design inspired by classic tennis shoes. The modern style combines leather and suede panels with tactile monogrammed fabric and sits atop thick rubber soles.,[]
"['Men', 'Designers', 'Lanvin', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/12/P00835454.jpg,Lanvin,DDB0 leather sneakers,€ 379,,,P00835454,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']",Add to your sneaker collection with the essential DDB0 pair from Lanvin. They’re made from white leather atop durable rubber soles.,[]
