breadcrumb,image_url,brand,product_name,listing_price,offer_price,discount,product_id_text,sizes,description,other_images
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/23/P00831275.jpg,Manolo Blahnik,Carlton embellished velvet loafers,€ 879,,,P00831275,"['UK_ 6 / EU 40', 'UK_ 6.5 / EU 40.5', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']",The Carlton loafers from Manolo Blahnik will add a spectacular finish to elegant ensembles. The streamlined shape is crafted in Italy from plush velvet and is defined by ornate buckles adorning the uppers.,[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e9/P00734027.jpg,Christian Louboutin,Dandelion suede loafers,€ 635,,,P00734027,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']",Christian Louboutin's Dandelion loafers are made from tactile suede and feature sleek elongated lines with inverted notches on the vamps. This pair is finished with the brand's iconic red lacquered soles for unparalleled sophistication.,"['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/e9/P00734027_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/00/P00543140.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/00/P00543140_b1.jpg']"
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/b5/P00831151.jpg,Manolo Blahnik,Truro suede loafers,€ 669,,,P00831151,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","A favorite among modern dandies, the Truro loafers from Manolo Blahnik draw inspiration from the Regency fashion arbiter Beau Brummell. The pink-hued streamlined shape is crafted in Italy from plush suede with contrast topstitching.",[]
"['Men', 'Designers', 'Alexander McQueen', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/47/P00864156.jpg,Alexander McQueen,Embellished suede loafers,"€ 1,255",,,P00864156,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']",Stand out in these striking and stylish loafers from Alexander McQueen. They're made from plush black suede and adorned with intricate red beaded embellishments in the shape of a floral motif.,[]
"['Men', 'Designers', 'Saint Laurent', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/d4/P00525826.jpg,Saint Laurent,Wyatt Chelsea boots,€ 795,,,P00525826,"['EU_ 39 / EU 39', 'EU_ 39.5 / EU 39.5', 'EU_ 40 / EU 40', 'EU_ 40.5 / EU 40.5', 'EU_ 41 / EU 41', 'EU_ 41.5 / EU 41.5', 'EU_ 42 / EU 42', 'EU_ 42.5 / EU 42.5', 'EU_ 43 / EU 43', 'EU_ 43.5 / EU 43.5', 'EU_ 44 / EU 44', 'EU_ 44.5 / EU 44.5', 'EU_ 45 / EU 45', 'EU_ 45.5 / EU 45.5', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","These black leather ankle boots from Saint Laurent in offer ultimate style and comfort in a slim silhouette, and feature elastic side panels and leather soles.",[]
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/60/P00831186.jpg,Manolo Blahnik,Brompton suede Chelsea boots,€ 669,,,P00831186,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Creativity and craftsmanship are at the heart of every Manolo Blahnik design, including the Brompton Chelsea boots. Crafted in Italy from grey suede, this timeless style features elasticated inserts, heel pulls, and lugged rubber soles.",[]
"['Men', 'Designers', 'Balenciaga', 'Shoes', 'Boots', 'Ankle boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/aa/P00859152.jpg,Balenciaga,Rhino leather Chelsea boots,"€ 1,200",,,P00859152,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45']",Embrace a new take on conventional footwear with the Rhino Chelsea boots from Balenciaga. The design is crafted from brushed calf leather thatâs set atop 20mm heels and complete with pyramid-shaped toes.,[]
"['Men', 'Designers', 'Balenciaga', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/55/P00827562.jpg,Balenciaga,Santiago leather boots,"€ 1,500",,,P00827562,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Balenciaga lives up to its well-earned reputation for experimental silhouettes with the Santiago boots. Made in Italy from smooth leather, the pair comes with square toes that cartoonishly curve up and out.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/55/P00827562_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ff/P00838154.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ff/P00838154_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/e9/P00827611.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/e9/P00827611_b1.jpg']"
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/59/P00831213.jpg,Manolo Blahnik,Semanado leather sneakers,€ 505,,,P00831213,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Creativity and craftsmanship are at the heart of every Manolo Blahnik design, including the lace-up Semanando sneakers. Crafted in Italy from supple leather, this timeless style boasts contrasting eyelets and rests atop rubber soles.",[]
"['Men', 'Designers', 'John Lobb', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/2c/P00865465.jpg,John Lobb,Foundry II leather low-top sneakers,€ 955,,,P00865465,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","Unparalleled artisanship shines through in John Lobb's designs, which are created using high-quality materials and meticulous manufacturing processes. The Foundry II low-top sneakers are made of white leather with tonal topstitching and lugged rubber soles.",[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/d0/P00830479.jpg,Christian Louboutin,Louis Junior Spikes sneakers,€ 715,,,P00830479,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","The Louis Junior Spikes sneakers from Christian Louboutin are crafted from leather with blue suede and mesh panels. Set atop rubber soles, the lace-up style features eye-catching spike embellishements on the front.",[]
"['Men', 'Designers', 'Visvim', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/86/P00841775.jpg,Visvim,Skagway low-top sneakers,€ 675,,,P00841775,"['US_ 8 / EU 41 - 42', 'US_ 9 / EU 42.5 - 43', 'US_ 10 / EU 44 - 44.5', 'US_ 11 / EU 45 - 45.5', 'US_ 12 / EU 45.5 - 46']","Based in Tokyo, Visvim masterfully blends traditional Japanese craft techniques with vintage-inspired apparel. The Skagway low-top sneakers are made from high-twist green canvas with branded midsoles and cushioned corked insoles that absorb moisture.",[]
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/76/P00831227.jpg,Manolo Blahnik,Truro suede loafers,€ 669,,,P00831227,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","A favorite among modern dandies, the Truro loafers from Manolo Blahnik draw inspiration from the Regency fashion arbiter Beau Brummell. The streamlined shape is crafted in Italy from plush suede with tonal topstitching.",[]
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/ae/P00831258.jpg,Manolo Blahnik,Monaco suede loafers,€ 585,,,P00831258,"['UK_ 6 / EU 40', 'UK_ 6.5 / EU 40.5', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Manolo Blahnik's Monaco loafers are essential for between-the-season wear. Expertly crafted by artisans in Italy, the suede uppers have apron toes, and the rubber soles are suitable for indoor or outdoor use.",[]
"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/3a/P00806752.jpg,Valentino Garavani,VLogo leather loafers,€ 585,,,P00806752,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","At once iconic and understated, Valentino Garavani's VLogo carries the Maison's legacy of elegance. The motif appears in polished gold-tone metal on the grained calfskin construction of these slip-on loafers, complete with traditional pebble soles.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/3a/P00806752_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/d6/P00734326.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/d6/P00734326_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/b2/P00734282.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/b2/P00734282_b1.jpg']"
"['Men', 'Designers', 'Gucci', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/15/P00461579.jpg,Gucci,1953 Horsebit leather loafers,€ 615,,,P00461579,"['UK_ 5 / EU 39', 'UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","A true classic, the 1953 Horsebit leather loafers from Gucci feature the label's iconic icon detailed over the bridges and are crafted in Italy.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/15/P00461579_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/57/P00731016.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/57/P00731016_b2.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/39/P00737651.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/39/P00737651_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ec/P00737678.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ec/P00737678_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/d4/P00737553.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/d4/P00737553_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/14/P00773750.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/14/P00773750_b1.jpg']"
