product_url,breadcrumb,image_url,brand,product_name,listing_price,offer_price,discount,product_id_text,sizes,description,other_images
https://www.mytheresa.com/int/en/men/christian-louboutin-suede-loafers-black-p00649960,"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/ae/P00649960.jpg,Christian Louboutin,Suede loafers,€ 669,,,P00649960,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","These loafers from Christian Louboutin are made from suede for a tactile handle. Set on flat soles, they have penny straps and rounded toes.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ae/P00649960_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/2e/P00554205.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/2e/P00554205_b1.jpg']"
https://www.mytheresa.com/int/en/men/christian-louboutin-penny-leather-loafers-black-p00830474,"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/66/P00830474.jpg,Christian Louboutin,Penny leather loafers,€ 755,,,P00830474,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","Christian Louboutin's Penny loafers recharge day and night looks with a classic yet lively touch. Made from glossed leather, this pair is detailed with tonal topstitching, winged tabs, and a coin that features the Maison's stamped logo.",[]
https://www.mytheresa.com/int/en/men/gucci-interlocking-g-leather-loafers-brown-p00815881,"['Men', 'Designers', 'Gucci', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/a0/P00815881.jpg,Gucci,Interlocking G leather moccasins,€ 479,,,P00815881,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Classic and sophisticated, these moccasins from Gucci are crafted from brown leather and GG Supreme canvas. The style features Interlocking G cut-out detail and a pebbled rubber sole.",[]
https://www.mytheresa.com/int/en/men/tods-suede-loafers-brown-p00828533,"['Men', 'Designers', ""Tod's"", 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/71/P00828533.jpg,Tod's,Suede loafers,€ 465,,10% off over €500,P00828533,"['UK_ 6 / EU 39.5', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43-43.5', 'UK_ 9.5 / EU 44', 'UK_ 10 / EU 44.5', 'UK_ 10.5 / EU 45', 'UK_ 11 / EU 45.5', 'UK_ 11.5 / EU 46.5', 'UK_ 12 / EU 47', 'UK_ 13 / EU 48']","Tod's embodies the art of Italian craftsmanship with superior fabrications and timeless silhouettes that lend a sense of quiet sophistication. These suede calfskin loafers have penny straps, apron toes, and Gommino pebbles on the heels.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/71/P00828533_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/bc/P00830326.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/bc/P00830326_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/cf/P00830306.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/cf/P00830306_b1.jpg']"
https://www.mytheresa.com/int/en/men/tom-ford-radcliffe-leather-sneakers-neutrals-p00817547,"['Men', 'Designers', 'Tom Ford', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/b3/P00817547.jpg,Tom Ford,Radcliffe leather sneakers,€ 649,,,P00817547,"['UK_ 6 / EU 39', 'UK_ 7 / EU 40', 'UK_ 8 / EU 41', 'UK_ 9 / EU 42', 'UK_ 10 / EU 43', 'UK_ 11 / EU 44', 'UK_ 12 / EU 45', 'UK_ 13 / EU 46', 'UK_ 14 / EU 47']","Update your footwear collection with versatile designs, like the Radcliffe sneakers from Tom Ford. Crafted from smooth leather, this low-top pair features perforated uppers and T-logo motifs at the sides.",[]
https://www.mytheresa.com/int/en/men/tom-ford-t-suede-low-top-sneakers-multicoloured-p00837526,"['Men', 'Designers', 'Tom Ford', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/52/P00837526.jpg,Tom Ford,T suede low-top sneakers,€ 609,,,P00837526,"['UK_ 6 / EU 39', 'UK_ 7 / EU 40', 'UK_ 8 / EU 41', 'UK_ 9 / EU 42', 'UK_ 10 / EU 43', 'UK_ 11 / EU 44', 'UK_ 12 / EU 45', 'UK_ 13 / EU 46']","Designed to transcend seasons, Tom Ford prioritizes time-tested cuts and impeccable quality. These suede low-tops have a minimalist silhouette with contrasting T logos and heel tabs, as well as a lace-up construction.",[]
https://www.mytheresa.com/int/en/men/christian-louboutin-astroloubi-leather-sneakers-multicoloured-p00830484,"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/2f/P00830484.jpg,Christian Louboutin,Astroloubi leather sneakers,€ 715,,,P00830484,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","Brand-iconic motifs combined, the Astroloubi sneakers from Christian Louboutin feature signature Loubispikes at the heels, monogram detailing at the outsoles, and Loubi-red detailing. Theyâre made from panels of smooth leather and breathable mesh with chunky rubber soles.",[]
https://www.mytheresa.com/int/en/men/givenchy-g4-leather-low-top-sneakers-white-p00795742,"['Men', 'Designers', 'Givenchy', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/58/P00795742.jpg,Givenchy,G4 leather low-top sneakers,€ 650,,,P00795742,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","The G4 sneakers from Givenchy are made from leather in a low-top lace-up style. They feature contrast paneling, including logo-detailed heel tabs and debossed 4G emblems at the sides.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/58/P00795742_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/3b/P00795706.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/3b/P00795706_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/85/P00795726.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/85/P00795726_d2.jpg']"
https://www.mytheresa.com/int/en/men/manolo-blahnik-carlton-embellished-velvet-loafers-black-p00831275,"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/23/P00831275.jpg,Manolo Blahnik,Carlton embellished velvet loafers,€ 879,,,P00831275,"['UK_ 6 / EU 40', 'UK_ 6.5 / EU 40.5', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']",The Carlton loafers from Manolo Blahnik will add a spectacular finish to elegant ensembles. The streamlined shape is crafted in Italy from plush velvet and is defined by ornate buckles adorning the uppers.,[]
https://www.mytheresa.com/int/en/men/christian-louboutin-dandelion-suede-loafers-black-p00734027,"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e9/P00734027.jpg,Christian Louboutin,Dandelion suede loafers,€ 635,,,P00734027,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']",Christian Louboutin's Dandelion loafers are made from tactile suede and feature sleek elongated lines with inverted notches on the vamps. This pair is finished with the brand's iconic red lacquered soles for unparalleled sophistication.,[]
https://www.mytheresa.com/int/en/men/manolo-blahnik-truro-suede-loafers-pink-p00831151,"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/b5/P00831151.jpg,Manolo Blahnik,Truro suede loafers,€ 669,,,P00831151,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","A favorite among modern dandies, the Truro loafers from Manolo Blahnik draw inspiration from the Regency fashion arbiter Beau Brummell. The pink-hued streamlined shape is crafted in Italy from plush suede with contrast topstitching.",[]
https://www.mytheresa.com/int/en/men/alexander-mcqueen-embellished-suede-loafers-black-p00864156,"['Men', 'Designers', 'Alexander McQueen', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/47/P00864156.jpg,Alexander McQueen,Embellished suede loafers,"€ 1,255",,,P00864156,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']",Stand out in these striking and stylish loafers from Alexander McQueen. They're made from plush black suede and adorned with intricate red beaded embellishments in the shape of a floral motif.,[]
https://www.mytheresa.com/int/en/men/canada-goose-armstrong-hiking-boots-beige-p00846732,"['Men', 'Designers', 'Canada Goose', 'Shoes', 'Boots', 'Hiking boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/c3/P00846732.jpg,Canada Goose,Armstrong hiking boots,€ 669,,,P00846732,"['US_ 8 / EU 41', 'US_ 9 / EU 42', 'US_ 10 / EU 43', 'US_ 11 / EU 45', 'US_ 12 / EU 46']","Canada Goose presents the Armstrong boots, a stealthy pair optimized for outdoor comfort and performance. The trail-ready design is presented here in beige, featuring a waterproof construction and secure lace-up fastening.",[]
https://www.mytheresa.com/int/en/men/bottega-veneta-snap-suede-ankle-boots-brown-p00863079,"['Men', 'Designers', 'Bottega Veneta', 'Shoes', 'Boots', 'Ankle boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e5/P00863079.jpg,Bottega Veneta,Snap suede ankle boots,€ 715,,,P00863079,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44']","Bottega Veneta's Snap ankle boots combine timeless style with modern minimalist aesthetics. Realized in suede, this slip-on shoe is finished with signature triangle logos at the heel.",[]
https://www.mytheresa.com/int/en/men/zegna-suede-loafers-brown-p00827269,"['Men', 'Designers', 'Zegna', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/a5/P00827269.jpg,Zegna,x The Elder Statesman alpaca loafers,"€ 1,005",,,P00827269,"['UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","Slip into the rebellious elegance of the Zegna x The Elder Statesman collection with these plush loafers. Made from alpaca wool and shaped into a classic silhouette, this luxuriously soft design comes in warm brown.",[]
https://www.mytheresa.com/int/en/men/jacquemus-les-derbies-pavane-suede-derby-shoes-beige-p00845528,"['Men', 'Designers', 'Jacquemus', 'Shoes', 'Derby Shoes']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/2e/P00845528.jpg,Jacquemus,Les Derbies Pavane suede Derby shoes,€ 549,,,P00845528,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Jacquemus brings a characterful vision of French fashion to the design of every new collection. The Les Derbies Pavane derby shoes are made from soft, beige suede with tonal stitches lining the soles.",[]
