_id,url,broker_display_name,broker,category,category_url,title,description,longitude,latitude,price,currency,price_per,bedrooms,bathrooms,furnished,scraped_ts,details,number_of_photos,date,published_at,verified
6540a1d7311c85242f7760f9,https://sa.aqar.fm/%D9%81%D9%84%D9%84-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%AE%D8%A8%D8%B1/%D8%AD%D9%8A-%D9%82%D8%B1%D8%B7%D8%A8%D8%A9/%D8%AD%D9%8A-%D9%82%D8%B1%D8%B7%D8%A8%D8%A9-%D8%A7%D9%84%D8%AE%D8%A8%D8%B1-%D8%A7%D9%84%D8%AE%D8%A8%D8%B1-5524766,مكتبالصكوكالذهبيةللعقارات,مكتبالصكوكالذهبيةللعقارات,فللللبيع,https://sa.aqar.fm/%D9%81%D9%84%D9%84-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%AE%D8%A8%D8%B1/%D8%AD%D9%8A-%D9%82%D8%B1%D8%B7%D8%A8%D8%A9/,فيلاللبيعفيحيقرطبة،الخبر،الخبر,['فيلارقم101/1جديدةزاويةمميزه\n\nالمساحة394.25متر\nمكونهمن4غرفنوم\nلبقيةالتفاصيلالاطلاععلىالصوره\n\nالمسوقالحصريبوناصر👋\n\n\nرقمرخصةفالللوساطةوالتسويق:1200009621'],50.180973,26.346008,"3,500,000",ريال,,4,5,,2023-10-31,394m²,3,2023-10-31,2023/09/01,true
6540a1db311c85242f7760fb,https://sa.aqar.fm/%D8%B9%D9%85%D8%A7%D8%A6%D8%B1-%D9%84%D9%84%D8%A5%D9%8A%D8%AC%D8%A7%D8%B1/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AC%D9%86%D9%88%D8%A8-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A8%D8%AF%D8%B1/%D8%B4%D8%A7%D8%B1%D8%B9-%D8%A7%D9%84%D8%A7%D9%85%D8%A7%D9%85-%D9%85%D8%B3%D9%84%D9%85-%D8%A7%D9%84%D9%81%D8%B1%D8%B9%D9%89-%D8%AD%D9%8A-%D8%A8%D8%AF%D8%B1-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D8%A7%D9%85%D8%A7%D8%B1%D8%A9-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-5483224,محمدعبدالله,محمدعبدالله,عمائرللإيجار,https://sa.aqar.fm/%D8%B9%D9%85%D8%A7%D8%A6%D8%B1-%D9%84%D9%84%D8%A5%D9%8A%D8%AC%D8%A7%D8%B1/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AC%D9%86%D9%88%D8%A8-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A8%D8%AF%D8%B1/,عمارةللإيجارفيشارعالاماممسلمالفرعى،حيبدر،الرياض،امارةمنطقةالرياض,['الموقعمميز\n\nتمتأجيرالعروبةسنتربجوارالصالاتهذي\n\nمدةمجانيةللتجهيز\n\nعقدطويل\n\nتمتجهيزالمبنىلأنشطةصحيةوالتجهيزاتمتوافقةمعها\n\nعشرصالاتعلىطريقالإماممسلم\n\nالعقاريقععلىثلاثشوارعويعتبرلأصحابأنشطةالتجزئةرائعلتوفرالمواقف\n\nالإيجارقابلللتفاوض\n\n\nرقمرخصةفالللوساطةوالتسويق:1100034598'],46.690757,24.537185,"1,000,000",ريال,,0,,0,2023-10-31,1991m²,8,2023-10-31,2023/07/29,true
6540a1de311c85242f7760fd,https://sa.aqar.fm/%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A7%D9%84%D9%85%D9%84%D9%82%D8%A7/%D8%B4%D8%A7%D8%B1%D8%B9-%D9%88%D8%A7%D8%AF%D9%8A-%D9%87%D8%AC%D8%B1-%D8%AD%D9%8A-%D8%A7%D9%84%D9%85%D9%84%D9%82%D8%A7-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-5513610,عبدالعزيزيوسف,عبدالعزيزيوسف,شققللبيع,https://sa.aqar.fm/%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A7%D9%84%D9%85%D9%84%D9%82%D8%A7/,شقةللبيعفيشارعواديهجر،حيالملقا،الرياض،منطقةالرياض,['تاونهاوسللبيع\nمجمعالعجلانريفيرا\n4غرفنوم\nمجلسوصاله\nوصالةطعام\nمطبخراكب\nمكيفاتراكبة\n4حمامات\nغرفةغسيل\nغرفةخدامة\nمستودع\n\n\nرقمرخصةفالللوساطةوالتسويق:1100179210'],46.612431,24.81457,"1,640,000",ريال,,4,4,0,2023-10-31,230m²,17,2023-10-31,2023/08/23,true
6540a1e2311c85242f7760ff,https://sa.aqar.fm/%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A5%D9%8A%D8%AC%D8%A7%D8%B1/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A7%D9%84%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86/%D8%AD%D9%8A-%D8%A7%D9%84%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D8%A7%D9%85%D8%A7%D8%B1%D8%A9-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-5376669,خالدمحمد,خالدمحمد,شققللإيجار,https://sa.aqar.fm/%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A5%D9%8A%D8%AC%D8%A7%D8%B1/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A7%D9%84%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86/,شقةللإيجارفيحيالياسمين،الرياض،امارةمنطقةالرياض,['**عزابفقطsingles.هذهاخرشقةمتوفره\nولايوجدلديناشققعوائل.\n\n((يرجىقراءهكلالتفاصيلللتاكدمناذاكانتمناسبهقبلالتواصلمعالشكر))\n\nالسكنحداقصىشخصينولايسمحبعمالاوتجمعاتشباب،.\n\nشقة201أ:\nغرفتينوصالهكبيرهومطبحكبيروحمامواحد.\n*مطبخراكبومكيفاتسبليت.راكبه\n\n\n\nالسعرنهائيغيرقابلللتفاوض18750كل6شهوراو\xa035500دفعهواحدة\n+رسوممياه1000سنوياوتامين2000يستردعندالخروج،\n\xa0والكهرباءمشتركمعغرفةمجاوره.\n...((لايوجددفعشهري.))\n*الشقةلسكنشخصينحداقصى.ولايسمحبتجمعاتشباباوعمالنهائيا..\nالتواصلبالواتسابفقط\n\n+966-\n57627-\n2226'],46.63167,24.823826,"35,500",ريال,/,,1,0,2023-10-31,20m²,8,2023-10-31,2023/05/21,true
6540a1e6311c85242f776101,https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A8%D9%86%D8%A8%D8%A7%D9%86/%D8%AD%D9%8A-%D8%A7%D9%84%D8%AE%D9%8A%D8%B1-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D8%AD%D8%B1%D9%8A%D9%85%D9%84%D8%A7%D8%A1-5509774,مكتبإتساعللعقارات,مكتبإتساعللعقارات,أراضيللبيع,https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A8%D9%86%D8%A8%D8%A7%D9%86/,أرضللبيعفيحيالخير،الرياض،حريملاء,['مقابلهاحديقةومسجد\nالواجهةشرقية\nشارعها25\nمخطط:3539\nالاطوال:36في22.5\n\n\nرقمرخصةفالللوساطةوالتسويق:1100004825'],46.41433,25.104248,"1,134,000",ريال,,0,,,2023-10-31,810m²,4,2023-10-31,2023/08/20,true
6540a21f449df9ca4fc96984,https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%AF%D9%85%D8%A7%D9%85/%D8%AD%D9%8A-%D8%A7%D9%84%D8%B4%D8%B9%D9%84%D8%A9/%D8%B4%D8%A7%D8%B1%D8%B9-%D8%A7%D9%84%D9%86%D9%87%D8%B6%D8%A9-%D8%AD%D9%8A-%D8%A7%D9%84%D9%82%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%85%D8%A7%D9%85-%D8%A7%D9%84%D8%AF%D9%85%D8%A7%D9%85-5539727,مؤسسةسديرةللخدماتالعقارية,مؤسسةسديرةللخدماتالعقارية,أراضيللبيع,https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%AF%D9%85%D8%A7%D9%85/%D8%AD%D9%8A-%D8%A7%D9%84%D8%B4%D8%B9%D9%84%D8%A9/,أرضللبيعفيشارعالنهضة،حيالقريةالثانية،الدمام،الدمام,['للبيعاراضيسكنيةفيالدمامحيواحةالشرقيةمخططرقم1243\nبلكرقم30\nالبطونالشماليةمساحةحول638مالسعر1700ريالللمتر\nالبطونالجنوبيةمساحةحول770م\nالسعر1650ريالللمتر\n\n\n\nيوجدلديناعروضاخرىفيهذاالمخططمساحاتمختلفةواسعارمناسبةسكنيواستثماري8دوروتجاريدورينونصوبلكاتسكنية\nيسعدنازيارتكمفيمكتبنافرعالدمام:حيالشعلة\nشارععبدالرحمنبنعوفمقابلمخططواحةالشرقية\n\n\nرقمرخصةفالللوساطةوالتسويق:1200009060'],50.042706,26.334124,"1,084,600",ريال,,,,,2023-10-31,638m²,3,2023-10-31,2023/09/12,true
6540a224449df9ca4fc96986,https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A7%D9%84%D9%86%D8%B1%D8%AC%D8%B3/%D8%AD%D9%8A-%D8%A7%D9%84%D9%86%D8%B1%D8%AC%D8%B3-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-5566573,مكتبتاجالعاصمهللعقارات,مكتبتاجالعاصمهللعقارات,أراضيللبيع,https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A7%D9%84%D9%86%D8%B1%D8%AC%D8%B3/,أرضللبيعفيحيالنرجس،الرياض،منطقةالرياض,['للبيعأرضتجاريهحيالنرجسجنوب\n\nالمساحه٩٠٠مغربيهشارع٣٠م\n\n\nالحد٧٠٠٠للمتر\n\nلمزيدمنالمعلوماتارجوالتواصلواتسأباواتصال\n\n\nيحثيتوفرلدينااراضيبمساحاتواسعارمختلفهشمالالرياضونفسالمخططتجاريوسكني'],46.677179,24.848766,"6,300,000",ريال,,,,,2023-10-31,900m²,3,2023-10-31,2023/10/07,true
6540a244d9b9c998699a3504,https://sa.aqar.fm/%D9%81%D9%84%D9%84-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%AC%D8%AF%D8%A9/%D8%AC%D9%86%D9%88%D8%A8-%D8%AC%D8%AF%D8%A9/%D8%AD%D9%8A-%D8%A7%D9%84%D9%81%D8%B6%D9%8A%D9%84%D8%A9/%D8%B4%D8%A7%D8%B1%D8%B9-%D8%AD%D9%85%D8%AF-%D8%A7%D9%84%D8%AD%D9%82%D9%8A%D9%84-%D8%AD%D9%8A-%D8%A7%D9%84%D9%81%D8%B6%D9%8A%D9%84%D8%A9-%D8%AC%D8%AF%D8%A9-%D8%AC%D8%AF%D8%A9-5566677,شركةإسكانسلمانالعقارية(شركةشخصواحد),شركةإسكانسلمانالعقارية(شركةشخصواحد),فللللبيع,https://sa.aqar.fm/%D9%81%D9%84%D9%84-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%AC%D8%AF%D8%A9/%D8%AC%D9%86%D9%88%D8%A8-%D8%AC%D8%AF%D8%A9/%D8%AD%D9%8A-%D8%A7%D9%84%D9%81%D8%B6%D9%8A%D9%84%D8%A9/,فيلاللبيعفيشارعحمدالحقيل،حيالفضيلة،جدة،جدة,['فيلامتصلةدورينوملحق،درجداخلي-جدةحيالفضيلة\n\nمكونةمن\nالدورالأرضي:\nمجلس-مقلط-صالة-مطبخ-2دوراتمياه\n\nالدورالأول:\nصالة-2غرف-غرفةماستر-مطبخ-2دوراتمياه\n\nالملحقالعلوي:\nصالة-2غرف-2دوراتمياه\n\n\nكمايتوفر\nحوش-سطح-غرفةغسيل-غرفةسائق-مدخلسيارة-غرفةتخزين-حديقة-شرفة-تأسيسمصعد\nقريبمنالخدمات\nبناءعلىالكودالسعودي\n\nالضمانات\nضماناتعلىالسباكةوالكهرباءوالإنشاءات\n\n*تركيبالمكيفاتوالمطبخهديةمقدمةمنالمالكللعميل\n\n\nرقمالإعلان:2866\nرقمرخصةفال:1200019203\nرقمترخيصالاعلان:7200048724\nرقمالجوال:0538403003'],39.270213,21.300148,"1,050,000",ريال,,7,5,0,2023-10-31,200m²,13,2023-10-31,2023/10/08,true
6540a247d9b9c998699a3506,https://sa.aqar.fm/%D8%AF%D9%88%D8%B1-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AC%D9%86%D9%88%D8%A8-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%D9%8A%D8%A9/%D8%B4%D8%A7%D8%B1%D8%B9-%D8%A7%D9%84%D9%82%D8%A7%D8%AF-%D8%A7%D9%84%D8%A7%D8%B9%D9%84%D9%8A-%D8%AD%D9%8A-%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D8%A7%D9%85%D8%A7%D8%B1%D8%A9-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-5519362,ناديهابراهيم,ناديهابراهيم,دورللبيع,https://sa.aqar.fm/%D8%AF%D9%88%D8%B1-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AC%D9%86%D9%88%D8%A8-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%D9%8A%D8%A9/,دورللبيعفيشارعالقادالاعلي،حيالعزيزية،الرياض،امارةمنطقةالرياض,['دورللبيع\nعلوي\nمرممومجددبالكامل\nالعمر١٠سنوات\nمكونمنصالةومقلطومجلسومطبخوثلاثغرفنوموثلاثدوراتمياة\n\nالبيع550ألف\n\n\nرقمرخصةفالللوساطةوالتسويق:1100046745'],46.77322,24.58588,"550,000",ريال,,4,3,,2023-10-31,143m²,7,2023-10-31,2023/08/28,true
6540a24bd9b9c998699a3508,https://sa.aqar.fm/%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A5%D9%8A%D8%AC%D8%A7%D8%B1/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A7%D9%84%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86/%D8%B4%D8%A7%D8%B1%D8%B9-%D8%A7%D9%84%D8%A7%D9%85%D9%8A%D8%B1-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87-%D8%A8%D9%86-%D8%B3%D8%B9%D9%88%D8%AF-%D8%A8%D9%86-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87-%D8%B5%D9%86%D9%8A%D8%AA%D8%A7%D9%86-%D8%A7%D9%84-%D8%B3%D8%B9%D9%88%D8%AF-%D8%AD%D9%8A-%D8%A7%D9%84%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-5570746,مؤسسةواحةالنرجسللعقارات,مؤسسةواحةالنرجسللعقارات,شققللإيجار,https://sa.aqar.fm/%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A5%D9%8A%D8%AC%D8%A7%D8%B1/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A7%D9%84%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86/,شقةللإيجارفيشارعالاميرعبداللهبنسعودبنعبداللهصنيتانالسعود،حيالياسمين،الرياض،منطقةالرياض,"['شقة(الماجدية124)مؤثثةتأثيثفندقيفاخرومتكامل🏡\n((إيجـارشهري))🛑🛑\n\n-فيحيسكنيراقي\n-مساحةالشقة120م\n-\u200fالدورالارضي🚪\n-2️⃣غرفنوم(متكامل)\n-1️⃣غرفةملابس👔👚\n-2️⃣دوراتمياه🚾🛁🚿\n-مطبخ🍽️\n-مؤثثبالكاملبالأواني\n-1️⃣صالةجلوسوطعاممفتوحةبمساحةواسعة🛋️🪞🍴☕️\n-1️⃣غرفةغسيل🚰\n-\u200fكاميراتمراقبة📽️\n-انتركوم🔒\n-حديقةخارجية🏕️\n-عدادكهرباءمستقل⚡\n-إضاءةLED💡إضاءةمخفية💡\n\nالسعر:15,000شهرياً🛑🛑\n\nللتواصل:0555160503📞📱\n\n\nرقمرخصةفالللوساطةوالتسويق:1100014123']",46.629094,24.823594,"16,000",ريال,/,2,2,1,2023-10-31,120m²,18,2023-10-31,2023/10/11,true
